Distribution,ttl,DisParameter 1,DisParameter 2,Replacement Policy,NumberOfItems,CacheCapacity,Lower,Mean,Upper
Zipf,,0.5,1000,LFU,1000,900,0.9356514212824609,0.9384126953464359,0.9411739694104109
Zipf,,0.75,1000,Random,1000,100,0.29357001802066207,0.29443539260554,0.295300767190418
Zipf,,0.75,1000,Random,1000,200,0.4320009905961536,0.4332619041933032,0.43452281779045276
Zipf,,0.75,1000,Random,1000,300,0.5366888680994976,0.5382554309141933,0.539821993728889
Zipf,,0.75,1000,Random,1000,400,0.6225115872118775,0.6243303327977794,0.6261490783836813
Zipf,,0.75,1000,Random,1000,500,0.6983165336360561,0.7003816308648577,0.7024467280936594
Zipf,,0.75,1000,Random,1000,600,0.7670702184008586,0.769342651330704,0.7716150842605494
Zipf,,0.75,1000,Random,1000,700,0.8295527619153752,0.8319937019308387,0.8344346419463021
Zipf,,0.75,1000,Random,1000,800,0.8875435811171852,0.8901729689937521,0.892802356870319
Zipf,,0.75,1000,Random,1000,900,0.9435121072014372,0.9462891864177155,0.9490662656339939
Zipf,,0.75,1000,FIFO,1000,100,0.29339771523045705,0.29425154183391233,0.2951053684373676
Zipf,,0.75,1000,FIFO,1000,200,0.4318551684465998,0.43312098430889034,0.43438680017118086
Zipf,,0.75,1000,FIFO,1000,300,0.5362136009636627,0.5378035405191383,0.5393934800746139
Zipf,,0.75,1000,FIFO,1000,400,0.6231323053621846,0.6249814465664463,0.626830587770708
Zipf,,0.75,1000,FIFO,1000,500,0.6959112647877286,0.7001062808387242,0.7043012968897198
Zipf,,0.75,1000,FIFO,1000,600,0.7668548640661872,0.7691304474972608,0.7714060309283344
Zipf,,0.75,1000,FIFO,1000,700,0.8291633096755296,0.8316248821745316,0.8340864546735335
Zipf,,0.75,1000,FIFO,1000,800,0.8885246971747777,0.8911657786352963,0.893806860095815
Zipf,,0.75,1000,FIFO,1000,900,0.9427247681576756,0.9455034393924676,0.9482821106272596
Zipf,,0.75,1000,LRU,1000,100,0.33157649489156,0.3325417410264252,0.3335069871612904
Zipf,,0.75,1000,LRU,1000,200,0.4774549338237682,0.4788638096043152,0.4802726853848622
Zipf,,0.75,1000,LRU,1000,300,0.5831001420721817,0.5848261392744863,0.5865521364767909
