Distribution,ttl,DisParameter 1,DisParameter 2,Replacement Policy,NumberOfItems,CacheCapacity,Lower,Mean,Upper
Zipf,,1.5,1000,Random,1000,200,0.9238649495237659,0.9355854057562065,0.9473058619886472
Zipf,,1.5,1000,Random,1000,300,0.944922954240253,0.9569026105331685,0.968882266826084
Zipf,,1.5,1000,Random,1000,400,0.961464831245053,0.9672286102528591,0.9729923892606652
Zipf,,1.5,1000,Random,1000,500,0.9701772983074518,0.976006224265349,0.9818351502232462
Zipf,,1.5,1000,Random,1000,600,0.9768014038048508,0.9826725509740475,0.9885436981432442
Zipf,,1.5,1000,Random,1000,700,0.9815180834952985,0.9874120729541084,0.9933060624129183
Zipf,,1.5,1000,Random,1000,800,0.9860874306881479,0.9920129336213375,0.9979384365545271
Zipf,,1.5,1000,Random,1000,900,0.9900070384326797,0.9959570344409074,1.001907030449135
Zipf,,1.5,1000,FIFO,1000,100,0.881523405137928,0.8926758834240872,0.9038283617102464
Zipf,,1.5,1000,FIFO,1000,200,0.9256442908409084,0.93733786281861,0.9490314347963116
Zipf,,1.5,1000,FIFO,1000,300,0.9503626497441662,0.9560699413364222,0.9617772329286782
Zipf,,1.5,1000,FIFO,1000,400,0.9609678771122141,0.9667560642570693,0.9725442514019245
Zipf,,1.5,1000,FIFO,1000,500,0.9637644126641932,0.9759763793490916,0.9881883460339901
Zipf,,1.5,1000,FIFO,1000,600,0.9705871998802152,0.9828905856764439,0.9951939714726726
Zipf,,1.5,1000,FIFO,1000,700,0.9816787813128588,0.9875837007975212,0.9934886202821837
Zipf,,1.5,1000,FIFO,1000,800,0.9857014594151412,0.9916240361378356,0.9975466128605299
Zipf,,1.5,1000,FIFO,1000,900,0.9893337503275571,0.995276511694734,1.001219273061911
Zipf,,1.5,1000,LRU,1000,100,0.9075724418306008,0.9190679529928953,0.9305634641551899
Zipf,,1.5,1000,LRU,1000,200,0.9469924938534047,0.9526841351887072,0.9583757765240097
Zipf,,1.5,1000,LRU,1000,300,0.961800446049013,0.96757696442488,0.9733534828007468
Zipf,,1.5,1000,LRU,1000,400,0.9712006368888635,0.9770419666659859,0.9828832964431082
Zipf,,1.5,1000,LRU,1000,500,0.971336126151202,0.9836419604908683,0.9959477948305345
Zipf,,1.5,1000,LRU,1000,600,0.9756422994756071,0.9880050139382106,1.0003677284008141
Zipf,,1.5,1000,LRU,1000,700,0.985892906539146,0.9918163045656215,0.9977397025920971
Zipf,,1.5,1000,LRU,1000,800,0.9824698144024304,0.9949201786209956,1.0073705428395607
Zipf,,1.5,1000,LRU,1000,900,0.9913398865430356,0.9972959971485791,1.0032521077541225
Zipf,,1.5,1000,LFU,1000,100,0.9287145567211827,0.9404852459516867,0.9522559351821906
Zipf,,1.5,1000,LFU,1000,200,0.9594485727910653,0.9652135180267153,0.9709784632623653
Zipf,,1.5,1000,LFU,1000,300,0,0.9749358152108768,0
Zipf,,1.5,1000,LFU,1000,400,0.969034502853473,0.9813157800863108,0.9935970573191486
Zipf,,1.5,1000,LFU,1000,500,0.9801213394893515,0.986014073695915,0.9919068079024784
Zipf,,1.5,1000,LFU,1000,600,0.9776949909051151,0.9900855137872269,1.0024760366693386
Zipf,,1.5,1000,LFU,1000,700,0.9805812767214549,0.9930060478575334,1.0054308189936119
Zipf,,1.5,1000,LFU,1000,800,0.9831044832538902,0.9955632239387956,1.008021964623701
Zipf,,1.5,1000,LFU,1000,900,0,0.9975080665348719,0
Zipf,,2,1000,Random,1000,100,0.9800760072208156,0.9859621034262719,0.9918481996317282
Zipf,,2,1000,Random,1000,200,0.987795874261889,0.9937377033312853,0.9996795324006816
Zipf,,2,1000,Random,1000,300,0.9931946131019815,0.9961217552175742,0.9990488973331668
Zipf,,2,1000,Random,1000,400,0.9914658170314676,0.9974245072708601,1.0033831975102525
Zipf,,2,1000,Random,1000,500,0.9952060291257564,0.9981311279170129,1.0010562267082692
Zipf,,2,1000,Random,1000,600,0.9957408479346015,0.9986690097096798,1.001597171484758
Zipf,,2,1000,Random,1000,700,0.9960876001054849,0.9990163805467764,1.001945160988068
Zipf,,2,1000,Random,1000,800,0.9963490788588242,0.999278411378409,1.002207743897994
Zipf,,2,1000,Random,1000,900,0.9964234554331565,0.9993531078227266,1.0022827602122968
Zipf,,2,1000,FIFO,1000,100,0.9804391407724262,0.9863419365116943,0.9922447322509624
Zipf,,2,1000,FIFO,1000,200,0.9907249307871483,0.9936409625332393,0.9965569942793303
